2022-05-26 20:40:45.246 [] [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-05-26 20:40:46.206 [] [main] INFO  c.c.f.f.i.provider.DefaultApplicationProvider - App ID is set to apollo-plm-pattern-service by app.id property from System Property
2022-05-26 20:40:46.210 [] [main] INFO  c.c.f.f.internals.provider.DefaultServerProvider - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
2022-05-26 20:40:46.235 [] [main] INFO  c.c.f.apollo.internals.DefaultMetaServerProvider - Located meta services from apollo.meta configuration: https://apollometa.test.doublefs.com!
2022-05-26 20:40:46.237 [] [main] INFO  com.ctrip.framework.apollo.core.MetaDomainConsts - Located meta server address https://apollometa.test.doublefs.com for env UNKNOWN from com.ctrip.framework.apollo.internals.DefaultMetaServerProvider
2022-05-26 20:40:47.217 [] [main] INFO  c.d.p.q.service.web.QualityServiceWebApplication - The following profiles are active: dev
2022-05-26 20:40:48.700 [] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-26 20:40:48.703 [] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-26 20:40:48.735 [] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2022-05-26 20:40:49.215 [] [main] INFO  o.s.c.annotation.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'com.ctrip.framework.apollo.spring.boot.ApolloAutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2022-05-26 20:40:49.401 [] [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a34fae97-38ff-3f58-9fe8-9ec1870b1e10
